#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Endocytosis,n/a,map04144,6,258,0.294621595888819,0.448784058853898,"Q9S9N1, Q1ECJ7, Q9M9G7, P22953, O65719, Q9LHA8",,Q9S9N1; Q1ECJ7; Q9M9G7; P22953; O65719; Q9LHA8
"Valine, leucine and isoleucine degradation",n/a,map00280,2,90,0.393883612664402,0.537487013114965,"Q9LPM8, Q9SR86",,Q9LPM8; Q9SR86
Metabolic pathways,n/a,map01100,139,3837,2.86967865720465E-20,7.51855808187618E-18,"B3H5Q1, O80518, Q9SAA9, O65378, Q9SHH7, Q9M9V6, Q9LN20, Q84P25, F4I1A6, Q8L743, Q8L7F9, A0A178WJZ2, O82768, Q9MA74, Q94LA4, P0C7R2, Q9C5W0, Q9LPM8, Q682B4, Q9CAN8, Q9CAD1, Q9SH69, Q9S777, O04474, Q9FXD8, Q94A41, Q9CAC1, Q9C998, Q9C9H5, Q9SSP5, P92976, A0A178WFN8, Q9SFX3, Q8LAH7, Q8GYB8, P11832, Q9C9S4, Q8GYM1, Q9ZRW8, Q9M9F5, Q9C971, Q9ZT84, Q9M040, Q9LZ06, F4JW83, Q9FG34, Q38946, P50287, F4KFG5, Q9FMT1, Q9LY82, Q9S7T9, Q9LF04, Q9LFJ8, Q9FK51, Q9FK50, F4K2L4, Q39034, Q94A82, A0A1P8BG25, F4JWS8, O82462, Q9LVY1, Q6NKX1, Q9FL16, Q9FKS0, Q9FHE1, Q9FHN4, Q944K2, F4J5Z7, Q8L7W7, Q9S702, Q9M880, Q9SR86, Q9SR37, Q9SR36, Q1PER6, P19171, Q9LIB9, Q9LUE1, Q9LVI8, Q9SWE5, Q9LV33, P48523, Q39085, P28297, Q9LIR6, A1L4V7, Q9LTZ0, P42738, P92983, Q9LHR4, Q9M2A0, P32962, P32961, O22241, Q9SMU8, Q8LG70, Q9LFA3, Q9M2U5, Q9M1G8, Q9M1B9, Q9LZX6, Q9ZU91, Q9ZPS4, Q9SI61, Q8L7R2, O82200, O82191, Q67X99, Q501D8, O48780, Q7G9P4, Q9ZW22, Q9ZW24, Q9ZW27, O24603, O22842, O22141, O80831, O81312, Q9M111, Q8RXK7, Q9ZPH4, Q9SVQ9, Q9SVM4, F4JTY7, O81862, Q9SB81, Q93ZI4, Q67Y55, O65782, O81755, O49485, O23141, Q7XA67, Q8VY53, Q56W08, O81346",,B3H5Q1; O80518; Q9SAA9; O65378; Q9SHH7; Q9M9V6; Q9LN20; Q84P25; F4I1A6; Q8L743; Q8L7F9; A0A178WJZ2; O82768; Q9MA74; Q94LA4; P0C7R2; Q9C5W0; Q9LPM8; Q682B4; Q9CAN8; Q9CAD1; Q9SH69; Q9S777; O04474; Q9FXD8; Q94A41; Q9CAC1; Q9C998; Q9C9H5; Q9SSP5; P92976; A0A178WFN8; Q9SFX3; Q8LAH7; Q8GYB8; P11832; Q9C9S4; Q8GYM1; Q9ZRW8; Q9M9F5; Q9C971; Q9ZT84; Q9M040; Q9LZ06; F4JW83; Q9FG34; Q38946; P50287; F4KFG5; Q9FMT1; Q9LY82; Q9S7T9; Q9LF04; Q9LFJ8; Q9FK51; Q9FK50; F4K2L4; Q39034; Q94A82; A0A1P8BG25; F4JWS8; O82462; Q9LVY1; Q6NKX1; Q9FL16; Q9FKS0; Q9FHE1; Q9FHN4; Q944K2; F4J5Z7; Q8L7W7; Q9S702; Q9M880; Q9SR86; Q9SR37; Q9SR36; Q1PER6; P19171; Q9LIB9; Q9LUE1; Q9LVI8; Q9SWE5; Q9LV33; P48523; Q39085; P28297; Q9LIR6; A1L4V7; Q9LTZ0; P42738; P92983; Q9LHR4; Q9M2A0; P32962; P32961; O22241; Q9SMU8; Q8LG70; Q9LFA3; Q9M2U5; Q9M1G8; Q9M1B9; Q9LZX6; Q9ZU91; Q9ZPS4; Q9SI61; Q8L7R2; O82200; O82191; Q67X99; Q501D8; O48780; Q7G9P4; Q9ZW22; Q9ZW24; Q9ZW27; O24603; O22842; O22141; O80831; O81312; Q9M111; Q8RXK7; Q9ZPH4; Q9SVQ9; Q9SVM4; F4JTY7; O81862; Q9SB81; Q93ZI4; Q67Y55; O65782; O81755; O49485; O23141; Q7XA67; Q8VY53; Q56W08; O81346
N-Glycan biosynthesis,n/a,map00510,3,78,0.117843686873975,0.272026836660629,"Q9SFX3, Q944K2, Q9SI62",,Q9SFX3; Q944K2; Q9SI62
Various types of N-glycan biosynthesis,n/a,map00513,3,62,0.0713413853611925,0.222517178150386,"Q8L7F9, Q9SFX3, Q944K2",,Q8L7F9; Q9SFX3; Q944K2
Arginine and proline metabolism,n/a,map00330,5,98,0.0185109483206278,0.0836184217242153,"Q9LN20, Q9S7T9, Q6NKX1, P92983, O23141",,Q9LN20; Q9S7T9; Q6NKX1; P92983; O23141
Histidine metabolism,n/a,map00340,2,33,0.0939222084765356,0.241251162949533,"O82768, Q9MA74",,O82768; Q9MA74
Tryptophan metabolism,n/a,map00380,6,109,0.00734600053287843,0.0409500455237053,"A0A178WB88, P32962, P32961, Q501D8, O65782, O81346",,A0A178WB88; P32962; P32961; Q501D8; O65782; O81346
Glycolysis / Gluconeogenesis,n/a,map00010,2,205,0.774231238883892,0.83476783780897,"Q9M040, F4J5Z7",,Q9M040; F4J5Z7
Ascorbate and aldarate metabolism,n/a,map00053,4,90,0.0507127522232264,0.170342834390838,"Q9LY82, Q1PER6, Q9LFA3, O82200",,Q9LY82; Q1PER6; Q9LFA3; O82200
