#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Endocytosis,n/a,map04144,1,258,0.37387221363004,0.38811496462547,P22954,,P22954
"Valine, leucine and isoleucine degradation",n/a,map00280,1,90,0.151588467426792,0.224804665979869,Q570C8,,Q570C8
Metabolic pathways,n/a,map01100,36,3837,9.09196335477415E-16,9.91024005670382E-14,"O64489, Q39103, Q84VY3, Q9XIF8, Q9FRL8, P11832, Q9C971, Q9LFP0, Q9S7T9, Q8RX87, Q9FLV5, Q9FNF2, F4JWS8, Q570C8, Q9FM79, Q37001, P92983, P32962, Q9ZW15, Q9ZW24, Q9ZW29, Q9ZW30, Q9SJQ9, Q9ZV04, O22893, O23066, Q9M111, O81301, P46422, Q9SVQ9, Q9SVQ1, P92980, Q39110, Q9SZB9, Q9T003, Q8W2B8",,O64489; Q39103; Q84VY3; Q9XIF8; Q9FRL8; P11832; Q9C971; Q9LFP0; Q9S7T9; Q8RX87; Q9FLV5; Q9FNF2; F4JWS8; Q570C8; Q9FM79; Q37001; P92983; P32962; Q9ZW15; Q9ZW24; Q9ZW29; Q9ZW30; Q9SJQ9; Q9ZV04; O22893; O23066; Q9M111; O81301; P46422; Q9SVQ9; Q9SVQ1; P92980; Q39110; Q9SZB9; Q9T003; Q8W2B8
Arginine and proline metabolism,n/a,map00330,2,98,0.0142819767114039,0.0399162938857185,"Q9S7T9, P92983",,Q9S7T9; P92983
Tryptophan metabolism,n/a,map00380,4,109,5.68976588959616E-05,0.000442988915689987,"O64489, P32962, Q9SVQ1, Q9T003",,O64489; P32962; Q9SVQ1; Q9T003
Glycolysis / Gluconeogenesis,n/a,map00010,1,205,0.310859593570137,0.335482135635098,Q9SJQ9,,Q9SJQ9
Ascorbate and aldarate metabolism,n/a,map00053,1,90,0.151588467426792,0.224804665979869,Q9FRL8,,Q9FRL8
Biosynthesis of secondary metabolites,n/a,map01110,17,2085,3.62207585437091E-07,1.31602089375476E-05,"Q9FZ21, Q39103, Q9C971, Q9FLV5, Q9FNF2, Q570C8, Q56Y11, Q37001, P92983, Q9ZW15, Q9SJQ9, Q9ZV04, Q9M111, Q9SVQ9, Q39110, Q9SZB9, Q8W2B8",,Q9FZ21; Q39103; Q9C971; Q9FLV5; Q9FNF2; Q570C8; Q56Y11; Q37001; P92983; Q9ZW15; Q9SJQ9; Q9ZV04; Q9M111; Q9SVQ9; Q39110; Q9SZB9; Q8W2B8
Microbial metabolism in diverse environments,n/a,map01120,5,663,0.00761558929771783,0.0319268935942786,"P11832, P32962, Q9SJQ9, P92980, Q8W2B8",,P11832; P32962; Q9SJQ9; P92980; Q8W2B8
Fatty acid degradation,n/a,map00071,1,79,0.134555197228366,0.212558210114376,Q570C8,,Q570C8
Sulfur metabolism,n/a,map00920,2,71,0.00782749175950024,0.0310253309740191,"P92980, Q8W2B8",,P92980; Q8W2B8
Purine metabolism,n/a,map00230,1,167,0.261832301667467,0.291221641650549,Q9LFP0,,Q9LFP0
Plant hormone signal transduction,n/a,map04075,4,496,0.0132558203521579,0.0390509302266273,"Q9M7Q5, Q9ZWS6, O82333, O80992",,Q9M7Q5; Q9ZWS6; O82333; O80992
Regulation of actin cytoskeleton,n/a,map04810,1,119,0.194911552298643,0.244199531040829,Q9FE63,,Q9FE63
Pathogenic Escherichia coli infection,n/a,map05130,1,152,0.241537159302065,0.274245316290887,Q9T0G2,,Q9T0G2
Shigellosis,n/a,map05131,2,241,0.0718364635750144,0.137371482976782,"Q9FE63, Q9T0G2",,Q9FE63; Q9T0G2
Salmonella infection,n/a,map05132,4,230,0.000907636689041493,0.00581955288856016,"Q9FE63, O80625, Q8GXV2, Q9T0G2",,Q9FE63; O80625; Q8GXV2; Q9T0G2
"Tropane, piperidine and pyridine alkaloid biosynthesis",n/a,map00960,1,54,0.0945666254505309,0.164924194785726,Q9ZW15,,Q9ZW15
Phenylpropanoid biosynthesis,n/a,map00940,3,280,0.0149629289225357,0.0407739813139099,"Q9FLV5, Q9ZV04, Q9SZB9",,Q9FLV5; Q9ZV04; Q9SZB9
Starch and sucrose metabolism,n/a,map00500,2,276,0.0903675813347771,0.164167772758178,"Q9FNF2, Q9M111",,Q9FNF2; Q9M111
Cyanoamino acid metabolism,n/a,map00460,1,104,0.172785342399618,0.233957792814389,P32962,,P32962
MAPK signaling pathway - plant,n/a,map04016,1,238,0.350797617274429,0.371232429931192,O80992,,O80992
Plant-pathogen interaction,n/a,map04626,1,339,0.459267893078342,0.459267893078342,P25070,,P25070
Ubiquitin mediated proteolysis,n/a,map04120,1,252,0.367036907790973,0.384682912973231,Q9FWT2,,Q9FWT2
Viral carcinogenesis,n/a,map05203,1,227,0.337747778995299,0.360926548142035,Q9SI96,,Q9SI96
Human T-cell leukemia virus 1 infection,n/a,map05166,1,168,0.263165927067931,0.28974834394348,P40941,,P40941
Legionellosis,n/a,map05134,3,81,0.000495563056034738,0.0036010915405191,"P22954, Q9SCN8, Q9T0G2",,P22954; Q9SCN8; Q9T0G2
Tuberculosis,n/a,map05152,1,129,0.209334047141987,0.253526790427518,Q9T0G2,,Q9T0G2
Longevity regulating pathway - worm,n/a,map04212,6,180,1.3026212641584E-06,1.77482147241582E-05,"Q9XIF8, B9TSP7, Q9ZW24, Q9ZW29, Q9ZW30, P46422",,Q9XIF8; B9TSP7; Q9ZW24; Q9ZW29; Q9ZW30; P46422
Protein processing in endoplasmic reticulum,n/a,map04141,3,364,0.0293331725360201,0.0743561815447951,"Q9SYG1, P22954, Q9SCN8",,Q9SYG1; P22954; Q9SCN8
Huntington disease,n/a,map05016,4,437,0.00868861486339062,0.0315686340036526,"P24704, P40941, F4JWS8, Q9T0G2",,P24704; P40941; F4JWS8; Q9T0G2
alpha-Linolenic acid metabolism,n/a,map00592,2,71,0.00782749175950024,0.0310253309740191,"Q570C8, Q9SGH6",,Q570C8; Q9SGH6
Peroxisome,n/a,map04146,3,144,0.00248180590022369,0.0135258421562191,"P24704, Q570C8, B9TSP7",,P24704; Q570C8; B9TSP7
Carbon metabolism,n/a,map01200,2,480,0.216281163911742,0.259062053476701,"Q9SJQ9, Q8W2B8",,Q9SJQ9; Q8W2B8
Fatty acid metabolism,n/a,map01212,3,111,0.00120189680188534,0.00727815285586122,"Q84VY3, Q570C8, Q9SVQ9",,Q84VY3; Q570C8; Q9SVQ9
