#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,5,3837,0.0255879581050362,0.0621421839693736,"Q8RXK7, Q9LY82, P32962, Q9SMU8, O82200",,Q8RXK7; Q9LY82; P32962; Q9SMU8; O82200
Tryptophan metabolism,n/a,map00380,1,109,0.0467787403681289,0.0662698821881827,P32962,,P32962
Ascorbate and aldarate metabolism,n/a,map00053,2,90,0.000758727938620328,0.0128983749565456,"Q9LY82, O82200",,Q9LY82; O82200
Biosynthesis of secondary metabolites,n/a,map01110,1,2085,0.599873100864781,0.599873100864781,Q9SMU8,,Q9SMU8
Microbial metabolism in diverse environments,n/a,map01120,1,663,0.251625666017138,0.267352270143209,P32962,,P32962
Plant hormone signal transduction,n/a,map04075,2,496,0.0200458629879609,0.0567966117992226,"O80338, O22190",,O80338; O22190
Phenylpropanoid biosynthesis,n/a,map00940,1,280,0.115267417232771,0.130636406197141,Q9SMU8,,Q9SMU8
Cyanoamino acid metabolism,n/a,map00460,1,104,0.0446998015664581,0.0690815115117989,P32962,,P32962
Protein processing in endoplasmic reticulum,n/a,map04141,2,364,0.0112206939612822,0.0381503594683596,"P13853, P19037",,P13853; P19037
Nitrogen metabolism,n/a,map00910,1,79,0.0342381952955634,0.0646721466693975,P32962,,P32962
Amino sugar and nucleotide sugar metabolism,n/a,map00520,1,249,0.103220298011797,0.12533893330004,Q9LY82,,Q9LY82
Zeatin biosynthesis,n/a,map00908,1,59,0.0257880522478641,0.0547996110267111,Q9FUJ2,,Q9FUJ2
Pentose and glucuronate interconversions,n/a,map00040,2,152,0.00209882371211612,0.017840001552987,"Q8RXK7, Q9LY82",,Q8RXK7; Q9LY82
Two-component system,n/a,map02020,1,99,0.0426164144215597,0.0724479045166515,Q8RXK7,,Q8RXK7
Inositol phosphate metabolism,n/a,map00562,1,127,0.0542262314551074,0.0709112257489866,O82200,,O82200
Aminobenzoate degradation,n/a,map00627,1,16,0.00737384945850466,0.0417851469315264,P32962,,P32962
Styrene degradation,n/a,map00643,1,17,0.00780594001706299,0.0331752450725177,P32962,,P32962
