#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
"Valine, leucine and isoleucine degradation",n/a,map00280,1,90,0.0629738254692916,0.0854644774226101,Q9SR86,,Q9SR86
Metabolic pathways,n/a,map01100,18,3837,2.33579951159018E-10,8.87603814404268E-09,"B3H5Q1, Q9SHH7, Q8LAH7, Q8GYM1, Q6NKX1, Q9SR86, Q501D8, Q9ZW27, O24603, O81862, O65782, O81346, Q9LY82, P32962, Q9SMU8, O82200, Q8RXK7, F4JTY7",,B3H5Q1; Q9SHH7; Q8LAH7; Q8GYM1; Q6NKX1; Q9SR86; Q501D8; Q9ZW27; O24603; O81862; O65782; O81346; Q9LY82; P32962; Q9SMU8; O82200; Q8RXK7; F4JTY7
Arginine and proline metabolism,n/a,map00330,1,98,0.0683187676923228,0.0865371057436089,Q6NKX1,,Q6NKX1
Tryptophan metabolism,n/a,map00380,4,109,1.47255839890448E-06,2.79786095791851E-05,"Q501D8, O65782, O81346, P32962",,Q501D8; O65782; O81346; P32962
Ascorbate and aldarate metabolism,n/a,map00053,2,90,0.00202458976314606,0.00452555358820884,"Q9LY82, O82200",,Q9LY82; O82200
Biosynthesis of secondary metabolites,n/a,map01110,9,2085,1.98508962658936E-05,0.000188583514525989,"B3H5Q1, Q8LAH7, Q6NKX1, Q9SR86, Q501D8, O49561, O65782, O81346, Q9SMU8",,B3H5Q1; Q8LAH7; Q6NKX1; Q9SR86; Q501D8; O49561; O65782; O81346; Q9SMU8
Microbial metabolism in diverse environments,n/a,map01120,1,663,0.378567611616373,0.378567611616373,P32962,,P32962
Plant hormone signal transduction,n/a,map04075,1,496,0.299411504074533,0.307503706887358,O22190,,O22190
"Glycine, serine and threonine metabolism",n/a,map00260,1,123,0.0848282168296924,0.10073350748526,Q9SR86,,Q9SR86
Phenylpropanoid biosynthesis,n/a,map00940,2,280,0.0175565492402868,0.0303249486877682,"B3H5Q1, Q9SMU8",,B3H5Q1; Q9SMU8
Starch and sucrose metabolism,n/a,map00500,1,276,0.179747236487867,0.189733194070526,B3H5Q1,,B3H5Q1
Cyanoamino acid metabolism,n/a,map00460,2,104,0.00267416362511484,0.00564545654190911,"B3H5Q1, P32962",,B3H5Q1; P32962
Longevity regulating pathway - worm,n/a,map04212,3,180,0.000322217793501315,0.000874591153789283,"Q9SHH7, Q8GYM1, Q9ZW27",,Q9SHH7; Q8GYM1; Q9ZW27
Protein processing in endoplasmic reticulum,n/a,map04141,2,364,0.028482099152094,0.0470573812078075,"P13853, P19037",,P13853; P19037
alpha-Linolenic acid metabolism,n/a,map00592,1,71,0.0501578033437856,0.0733075587332251,Q8LAH7,,Q8LAH7
Nitrogen metabolism,n/a,map00910,1,79,0.0555750066203146,0.0782166759841464,P32962,,P32962
Glucosinolate biosynthesis,n/a,map00966,3,47,6.73199581545335E-06,8.52719469957425E-05,"Q501D8, O65782, O81346",,Q501D8; O65782; O81346
2-Oxocarboxylic acid metabolism,n/a,map01210,3,126,0.000115247786185771,0.000398128715914482,"Q501D8, O65782, O81346",,Q501D8; O65782; O81346
Drug metabolism - other enzymes,n/a,map00983,3,141,0.000159462446568056,0.000504964414132176,"Q9SHH7, Q8GYM1, Q9ZW27",,Q9SHH7; Q8GYM1; Q9ZW27
Amino sugar and nucleotide sugar metabolism,n/a,map00520,4,249,3.53294154542642E-05,0.000268503557452408,"O24603, O81862, Q9LY82, F4JTY7",,O24603; O81862; Q9LY82; F4JTY7
Zeatin biosynthesis,n/a,map00908,1,59,0.0419743563495889,0.0638010216513752,Q9FUJ2,,Q9FUJ2
Cysteine and methionine metabolism,n/a,map00270,1,201,0.134501307848569,0.146029991378447,Q9SR86,,Q9SR86
Pathways in cancer,n/a,map05200,3,283,0.00117351159321382,0.00278709003388283,"Q9SHH7, Q8GYM1, Q9ZW27",,Q9SHH7; Q8GYM1; Q9ZW27
