#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,7,3837,0.00252125293159251,0.00828411677523253,"Q9FUS9, Q9FUS8, Q9SGU9, Q9FMI7, Q9FGC7, Q9ZW15, A0A178VRB0",,Q9FUS9; Q9FUS8; Q9SGU9; Q9FMI7; Q9FGC7; Q9ZW15; A0A178VRB0
Biosynthesis of secondary metabolites,n/a,map01110,3,2085,0.0808026749402863,0.0929230761813292,"Q9FMI7, Q9FGC7, Q9ZW15",,Q9FMI7; Q9FGC7; Q9ZW15
Selenocompound metabolism,n/a,map00450,1,30,0.0149123173341007,0.0228655532456211,Q9SGU9,,Q9SGU9
"Tropane, piperidine and pyridine alkaloid biosynthesis",n/a,map00960,1,54,0.0263069988813197,0.0336144985705752,Q9ZW15,,Q9ZW15
Phenylpropanoid biosynthesis,n/a,map00940,1,280,0.127446225527709,0.127446225527709,Q9FMI7,,Q9FMI7
MAPK signaling pathway - plant,n/a,map04016,1,238,0.109466079247011,0.114441810121875,Q700C7,,Q700C7
Photosynthesis - antenna proteins,n/a,map00196,1,40,0.0196759443832106,0.0282841700508653,A0A178VRB0,,A0A178VRB0
Longevity regulating pathway - worm,n/a,map04212,2,180,0.00359368922424588,0.00918387246196169,"Q9FUS9, Q9FUS8",,Q9FUS9; Q9FUS8
Drug metabolism - other enzymes,n/a,map00983,2,141,0.00224219325704609,0.00859507415201001,"Q9FUS9, Q9FUS8",,Q9FUS9; Q9FUS8
Cysteine and methionine metabolism,n/a,map00270,1,201,0.0933250025269662,0.102213098005725,Q9SGU9,,Q9SGU9
Pathways in cancer,n/a,map05200,2,283,0.00855264080898161,0.0163925615505481,"Q9FUS9, Q9FUS8",,Q9FUS9; Q9FUS8
Carotenoid biosynthesis,n/a,map00906,1,44,0.0215750480823001,0.0291897709348767,Q9FGC7,,Q9FGC7
Hepatocellular carcinoma,n/a,map05225,2,119,0.00161430065460703,0.00742578301119236,"Q9FUS9, Q9FUS8",,Q9FUS9; Q9FUS8
Fluid shear stress and atherosclerosis,n/a,map05418,2,197,0.0042758157808189,0.00983437629588347,"Q9FUS9, Q9FUS8",,Q9FUS9; Q9FUS8
Glutathione metabolism,n/a,map00480,2,172,0.00329203110314056,0.00946458942152911,"Q9FUS9, Q9FUS8",,Q9FUS9; Q9FUS8
Platinum drug resistance,n/a,map01524,3,115,2.77090321413756E-05,0.000637307739251638,"Q9FUS9, Q9FUS8, Q8GWP3",,Q9FUS9; Q9FUS8; Q8GWP3
Apoptosis - fly,n/a,map04214,1,27,0.0134787971599215,0.0238471026675534,Q9C5R8,,Q9C5R8
Photosynthesis,n/a,map00195,1,147,0.0692503645308086,0.0838293886425578,O04090,,O04090
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,2,89,0.000919081578091319,0.00704629209870011,"Q9FUS9, Q9FUS8",,Q9FUS9; Q9FUS8
Drug metabolism - cytochrome P450,n/a,map00982,2,92,0.000980111633413373,0.0056356418921269,"Q9FUS9, Q9FUS8",,Q9FUS9; Q9FUS8
Mineral absorption,n/a,map04978,1,29,0.0144347049532366,0.0237141581374601,Q8GWP3,,Q8GWP3
Chemical carcinogenesis,n/a,map05204,2,84,0.000821605470828882,0.00944846291453215,"Q9FUS9, Q9FUS8",,Q9FUS9; Q9FUS8
Flavone and flavonol biosynthesis,n/a,map00944,1,11,0.00579865209510962,0.0121244543806838,Q9S9P6,,Q9S9P6
