#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,5,3837,0.0543209587704753,0.0995884244125381,"F4I1A6, Q9M880, Q9SMU8, Q9M1B9, O81346",,F4I1A6; Q9M880; Q9SMU8; Q9M1B9; O81346
Tryptophan metabolism,n/a,map00380,1,109,0.0570598639127347,0.096562846621551,O81346,,O81346
Biosynthesis of secondary metabolites,n/a,map01110,4,2085,0.0255924442954158,0.0804333963570212,"F4I1A6, Q9SMU8, Q9M1B9, O81346",,F4I1A6; Q9SMU8; Q9M1B9; O81346
Plant hormone signal transduction,n/a,map04075,1,496,0.233466971534906,0.244584446369901,Q9FJ49,,Q9FJ49
Phenylpropanoid biosynthesis,n/a,map00940,1,280,0.13945679764069,0.153402477404759,Q9SMU8,,Q9SMU8
Starch and sucrose metabolism,n/a,map00500,2,276,0.00982374899047235,0.216122477790392,"F4I1A6, Q9M1B9",,F4I1A6; Q9M1B9
MAPK signaling pathway - plant,n/a,map04016,1,238,0.11990096881153,0.146545628547426,Q9FJ49,,Q9FJ49
mRNA surveillance pathway,n/a,map03015,1,196,0.099907723714409,0.129292348336294,Q9FLE2,,Q9FLE2
Fatty acid metabolism,n/a,map01212,1,111,0.058067063314143,0.0851650261940764,Q9M880,,Q9M880
Biosynthesis of unsaturated fatty acids,n/a,map01040,1,38,0.020609019666871,0.0906796865342324,Q9M880,,Q9M880
Circadian rhythm - plant,n/a,map04712,1,71,0.0377203409530686,0.0829847500967509,Q8W1E3,,Q8W1E3
Glucosinolate biosynthesis,n/a,map00966,1,47,0.0253052322921092,0.0927858517377339,O81346,,O81346
2-Oxocarboxylic acid metabolism,n/a,map01210,1,126,0.0655873690653802,0.0901826324648978,O81346,,O81346
Amino sugar and nucleotide sugar metabolism,n/a,map00520,1,249,0.125064625416066,0.144811671534392,Q9M1B9,,Q9M1B9
Gastric cancer,n/a,map05226,1,54,0.0289425068627779,0.0795918938726392,Q9FWX8,,Q9FWX8
MicroRNAs in cancer,n/a,map05206,1,95,0.0499797153386905,0.0999594306773811,Q9FWX8,,Q9FWX8
ABC transporters,n/a,map02010,1,35,0.019038670085261,0.104712685468936,Q9FWX8,,Q9FWX8
Bile secretion,n/a,map04976,1,32,0.0174658414189857,0.128082837072562,Q9FWX8,,Q9FWX8
Fructose and mannose metabolism,n/a,map00051,1,110,0.0575635961085946,0.0904570795992201,Q9M1B9,,Q9M1B9
Fatty acid biosynthesis,n/a,map00061,1,65,0.0346312395161373,0.0846541410394466,Q9M880,,Q9M880
Ribosome,n/a,map03010,1,654,0.295755908357726,0.295755908357726,Q9FY65,,Q9FY65
Other glycan degradation,n/a,map00511,1,30,0.0164159097918926,0.180575007710819,Q9FKW9,,Q9FKW9
