#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
"Valine, leucine and isoleucine degradation",n/a,map00280,1,90,0.191161607985526,0.322694824489328,Q94AL9,,Q94AL9
Metabolic pathways,n/a,map01100,18,3837,0.0055427143481818,0.127482430008181,"Q9SYK6, A0A178WJZ2, O22693, Q8LDN8, Q9C7W4, Q9LIB9, P49078, Q9M1B9, Q9LZJ1, O49340, O80912, Q94AL9, O22841, A0A178VQI1, Q9S9U6, Q9T0E0, A0A1P8B956, Q8H1S0",,Q9SYK6; A0A178WJZ2; O22693; Q8LDN8; Q9C7W4; Q9LIB9; P49078; Q9M1B9; Q9LZJ1; O49340; O80912; Q94AL9; O22841; A0A178VQI1; Q9S9U6; Q9T0E0; A0A1P8B956; Q8H1S0
Tryptophan metabolism,n/a,map00380,2,109,0.0279123223551012,0.213994471389109,"Q9XI76, O49340",,Q9XI76; O49340
Ascorbate and aldarate metabolism,n/a,map00053,1,90,0.191161607985526,0.322694824489328,Q8H1S0,,Q8H1S0
Biosynthesis of secondary metabolites,n/a,map01110,9,2085,0.0656372610199493,0.28755371494454,"B6EXY6, Q9LIB9, P49078, Q9M1B9, Q9LZJ1, O80912, Q94AL9, Q9S9U6, A0A1P8B956",,B6EXY6; Q9LIB9; P49078; Q9M1B9; Q9LZJ1; O80912; Q94AL9; Q9S9U6; A0A1P8B956
Fatty acid degradation,n/a,map00071,1,79,0.170143490844973,0.329541077005001,Q9C7W4,,Q9C7W4
beta-Alanine metabolism,n/a,map00410,1,75,0.162366345631298,0.343395489611021,A0A1P8B956,,A0A1P8B956
Plant hormone signal transduction,n/a,map04075,2,496,0.322781092191416,0.366615561501362,"Q9SGU2, O64538",,Q9SGU2; O64538
Shigellosis,n/a,map05131,2,241,0.110424748969437,0.327712158231876,"Q9SRZ0, Q9FX60",,Q9SRZ0; Q9FX60
"Glycine, serine and threonine metabolism",n/a,map00260,2,123,0.034693001544234,0.199484758879346,"Q94AL9, A0A1P8B956",,Q94AL9; A0A1P8B956
Tyrosine metabolism,n/a,map00350,1,59,0.130524716658362,0.353184527428508,A0A1P8B956,,A0A1P8B956
Phenylalanine metabolism,n/a,map00360,1,49,0.110014129866871,0.33737666492507,A0A1P8B956,,A0A1P8B956
Isoquinoline alkaloid biosynthesis,n/a,map00950,1,32,0.074033692823771,0.272443989591477,A0A1P8B956,,A0A1P8B956
"Tropane, piperidine and pyridine alkaloid biosynthesis",n/a,map00960,1,54,0.12032898939406,0.345945844507923,A0A1P8B956,,A0A1P8B956
Phenylpropanoid biosynthesis,n/a,map00940,2,280,0.140541241601201,0.369422692208871,"Q9LZJ1, O80912",,Q9LZJ1; O80912
Starch and sucrose metabolism,n/a,map00500,3,276,0.0279394574963877,0.197725391512897,"Q9LIB9, Q9M1B9, Q9LZJ1",,Q9LIB9; Q9M1B9; Q9LZJ1
Cyanoamino acid metabolism,n/a,map00460,1,104,0.217146438463319,0.319639557418005,Q9LZJ1,,Q9LZJ1
Hedgehog signaling pathway,n/a,map04340,1,48,0.107936740287071,0.34242000366933,Q9SRZ0,,Q9SRZ0
