#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
"Valine, leucine and isoleucine degradation",n/a,map00280,1,90,0.123251691384712,0.187062850754102,Q94AL9,,Q94AL9
Metabolic pathways,n/a,map01100,15,3837,0.000515239574744253,0.0275653172488175,"Q9SHJ5, Q9FR37, Q9LMX8, A0A178WJZ2, Q944I4, Q6NLB0, Q39034, Q9FIW4, Q1PET6, Q6NLQ7, O80912, Q94AL9, O81862, Q9SUW0, F4JLI5",,Q9SHJ5; Q9FR37; Q9LMX8; A0A178WJZ2; Q944I4; Q6NLB0; Q39034; Q9FIW4; Q1PET6; Q6NLQ7; O80912; Q94AL9; O81862; Q9SUW0; F4JLI5
Arginine and proline metabolism,n/a,map00330,1,98,0.133335692678214,0.187722619954854,Q9FR37,,Q9FR37
Tryptophan metabolism,n/a,map00380,2,109,0.0114149605833297,0.122140078241628,"Q9FR37, Q9XI76",,Q9FR37; Q9XI76
Biosynthesis of secondary metabolites,n/a,map01110,13,2085,1.33120761745615E-05,0.00142439215067808,"Q9SHJ5, Q9LMX8, Q9XI60, Q944I4, Q39034, Q9FG67, Q9FIW4, Q1PET6, Q6NLQ7, O80912, Q94AL9, Q9SUW0, F4JLI5",,Q9SHJ5; Q9LMX8; Q9XI60; Q944I4; Q39034; Q9FG67; Q9FIW4; Q1PET6; Q6NLQ7; O80912; Q94AL9; Q9SUW0; F4JLI5
Microbial metabolism in diverse environments,n/a,map01120,4,663,0.0164068613425007,0.146294513637298,"Q9FR37, Q9LMX8, Q1PET6, F4JLI5",,Q9FR37; Q9LMX8; Q1PET6; F4JLI5
Glycerolipid metabolism,n/a,map00561,3,104,0.00052594231683832,0.0187586093005667,"Q9SHJ5, Q9XI60, Q944I4",,Q9SHJ5; Q9XI60; Q944I4
Purine metabolism,n/a,map00230,1,167,0.215658893870928,0.239124369369837,F4JLI5,,F4JLI5
Plant hormone signal transduction,n/a,map04075,3,496,0.0362336052333418,0.168565033042068,"Q9SA49, Q9M9E9, O64812",,Q9SA49; Q9M9E9; O64812
Pathogenic Escherichia coli infection,n/a,map05130,1,152,0.198450962699923,0.225896308605231,F4IVR7,,F4IVR7
Shigellosis,n/a,map05131,1,241,0.295322023882397,0.303840928417466,Q9SRZ0,,Q9SRZ0
"Glycine, serine and threonine metabolism",n/a,map00260,2,123,0.0143013832841193,0.139113455581888,"Q944I4, Q94AL9",,Q944I4; Q94AL9
Phenylalanine metabolism,n/a,map00360,1,49,0.0697109970461281,0.191258376511172,Q9FR37,,Q9FR37
Phenylpropanoid biosynthesis,n/a,map00940,3,280,0.0082305803749896,0.0978524555693208,"Q39034, Q9FIW4, O80912",,Q39034; Q9FIW4; O80912
Starch and sucrose metabolism,n/a,map00500,2,276,0.0616257014305926,0.188398572944955,"Q9FIW4, Q9SUW0",,Q9FIW4; Q9SUW0
Cyanoamino acid metabolism,n/a,map00460,1,104,0.140822935963175,0.189535272302639,Q9FIW4,,Q9FIW4
Hedgehog signaling pathway,n/a,map04340,1,48,0.0683653007733377,0.192502294282819,Q9SRZ0,,Q9SRZ0
Hedgehog signaling pathway - fly,n/a,map04341,1,81,0.111767681448485,0.188332943543116,Q9SRZ0,,Q9SRZ0
MAPK signaling pathway - plant,n/a,map04016,2,238,0.0475434650499478,0.188412991123867,"Q9M9E9, O64812",,Q9M9E9; O64812
Cell cycle,n/a,map04110,2,206,0.0367627371744379,0.163900536569369,"Q9SRZ0, Q9S9Z8",,Q9SRZ0; Q9S9Z8
Cell cycle - yeast,n/a,map04111,1,167,0.215658893870928,0.239124369369837,Q9SRZ0,,Q9SRZ0
