#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Endocytosis,n/a,map04144,2,258,0.155115481027645,0.28807160762277,"P22954, Q9LHA8",,P22954; Q9LHA8
Metabolic pathways,n/a,map01100,29,3837,8.90886295101829E-07,4.05353264271332E-05,"Q9FUS8, Q9S7T9, F4K2L4, Q9FNF2, Q9FJR1, Q9LUE6, Q1PER6, P32962, Q9ZW15, A0A178VRB0, O24598, O24658, Q9SVQ1, Q39110, O81772, Q8W2B8, P42734, Q84VY3, Q9S777, Q9C971, Q9ZQI7, O49312, O65457, O65677, O23141, Q9LNE3, Q8LAH7, O81301, P92980",,Q9FUS8; Q9S7T9; F4K2L4; Q9FNF2; Q9FJR1; Q9LUE6; Q1PER6; P32962; Q9ZW15; A0A178VRB0; O24598; O24658; Q9SVQ1; Q39110; O81772; Q8W2B8; P42734; Q84VY3; Q9S777; Q9C971; Q9ZQI7; O49312; O65457; O65677; O23141; Q9LNE3; Q8LAH7; O81301; P92980
Arginine and proline metabolism,n/a,map00330,2,98,0.0299865314454424,0.118642363545011,"Q9S7T9, O23141",,Q9S7T9; O23141
Tryptophan metabolism,n/a,map00380,3,109,0.00353079055946943,0.0357002156568576,"P32962, Q9SVQ1, O49312",,P32962; Q9SVQ1; O49312
Ascorbate and aldarate metabolism,n/a,map00053,1,90,0.217280746500026,0.318912063411329,Q1PER6,,Q1PER6
Biosynthesis of secondary metabolites,n/a,map01110,13,2085,0.00495788345309335,0.0410152176574087,"Q9FNF2, Q9FJR1, Q9ZW15, Q39110, O81772, Q8W2B8, P42734, Q9S777, Q9C971, Q9ZQI7, O65677, Q9LNE3, Q8LAH7",,Q9FNF2; Q9FJR1; Q9ZW15; Q39110; O81772; Q8W2B8; P42734; Q9S777; Q9C971; Q9ZQI7; O65677; Q9LNE3; Q8LAH7
Microbial metabolism in diverse environments,n/a,map01120,3,663,0.266434499584892,0.332130677564728,"P32962, Q8W2B8, P92980",,P32962; Q8W2B8; P92980
Sulfur metabolism,n/a,map00920,2,71,0.0166900991604887,0.0867885156345411,"Q8W2B8, P92980",,Q8W2B8; P92980
Plant hormone signal transduction,n/a,map04075,3,496,0.151916175748741,0.288007749856988,"Q6NMM4, Q9SSM7, Q9LUE5",,Q6NMM4; Q9SSM7; Q9LUE5
Regulation of actin cytoskeleton,n/a,map04810,1,119,0.276091730176327,0.328422842431971,Q9FE63,,Q9FE63
Shigellosis,n/a,map05131,1,241,0.478941318767217,0.489704045031649,Q9FE63,,Q9FE63
Salmonella infection,n/a,map05132,4,230,0.00384236831899867,0.0349655517028879,"Q9FE63, P27323, O80625, Q8GXV2",,Q9FE63; P27323; O80625; Q8GXV2
"Tropane, piperidine and pyridine alkaloid biosynthesis",n/a,map00960,1,54,0.137606558932585,0.278271041397005,Q9ZW15,,Q9ZW15
Phenylpropanoid biosynthesis,n/a,map00940,4,280,0.00754830091217338,0.049063955929127,"Q9FJR1, O81772, P42734, Q9S777",,Q9FJR1; O81772; P42734; Q9S777
Starch and sucrose metabolism,n/a,map00500,2,276,0.172115146791404,0.29551845958524,"Q9FNF2, Q9LNE3",,Q9FNF2; Q9LNE3
Cyanoamino acid metabolism,n/a,map00460,1,104,0.246244218484704,0.320117484030116,P32962,,P32962
MAPK signaling pathway - plant,n/a,map04016,2,238,0.13664777384783,0.289184823724478,"Q700C7, Q9SSM7",,Q700C7; Q9SSM7
Plant-pathogen interaction,n/a,map04626,2,339,0.233450102653454,0.321878171840368,"P27323, O65677",,P27323; O65677
Photosynthesis - antenna proteins,n/a,map00196,1,40,0.104482483671693,0.237697650353102,A0A178VRB0,,A0A178VRB0
RNA degradation,n/a,map03018,1,187,0.39728849676607,0.410832422792186,Q9LJE4,,Q9LJE4
Type I diabetes mellitus,n/a,map04940,1,19,0.0524033444639412,0.170310869507809,Q9LJE4,,Q9LJE4
Legionellosis,n/a,map05134,3,81,0.00155999049845962,0.0202798764799751,"P22954, Q9LJE4, Q9LHA8",,P22954; Q9LJE4; Q9LHA8
Tuberculosis,n/a,map05152,1,129,0.295332473582883,0.335940688700529,Q9LJE4,,Q9LJE4
Longevity regulating pathway - worm,n/a,map04212,3,180,0.0135413495762959,0.0770164257151831,"Q9FUS8, Q9LJE4, B9TSP7",,Q9FUS8; Q9LJE4; B9TSP7
Protein processing in endoplasmic reticulum,n/a,map04141,14,364,3.53018245857264E-12,3.2124660373011E-10,"P13853, Q9SYG1, P22954, P29830, Q96331, Q9LNW0, Q9XIE3, O81822, Q9FGM9, P27323, P19036, Q9ZW31, Q9LHA8, Q9M206",,P13853; Q9SYG1; P22954; P29830; Q96331; Q9LNW0; Q9XIE3; O81822; Q9FGM9; P27323; P19036; Q9ZW31; Q9LHA8; Q9M206
Lysosome,n/a,map04142,1,125,0.287698128576963,0.331399110132958,Q9LJX8,,Q9LJX8
Huntington disease,n/a,map05016,2,437,0.330265902141252,0.353578789351222,"Q6NLH0, O78310",,Q6NLH0; O78310
alpha-Linolenic acid metabolism,n/a,map00592,2,71,0.0166900991604887,0.0867885156345411,"Q8LAH7, Q9SGH6",,Q8LAH7; Q9SGH6
PI3K-Akt signaling pathway,n/a,map04151,1,155,0.343005652619824,0.362947841725628,P27323,,P27323
Peroxisome,n/a,map04146,2,144,0.0592049293021994,0.185780985051729,"B9TSP7, O78310",,B9TSP7; O78310
Carbon metabolism,n/a,map01200,1,480,1,1.00552486187845,Q8W2B8,,Q8W2B8
Fatty acid metabolism,n/a,map01212,1,111,0.260322735342228,0.329019012724205,Q84VY3,,Q84VY3
Biosynthesis of unsaturated fatty acids,n/a,map01040,1,38,0.0996480516622093,0.238630860559501,Q84VY3,,Q84VY3
NOD-like receptor signaling pathway,n/a,map04621,2,117,0.0411491953650685,0.149783071128849,"P27323, Q8GXV2",,P27323; Q8GXV2
Circadian rhythm - plant,n/a,map04712,3,71,0.0010825190031986,0.0197018458582146,"Q93WK5, Q9SQI2, Q8L500",,Q93WK5; Q9SQI2; Q8L500
Nitrogen metabolism,n/a,map00910,1,79,0.193747543219377,0.320564116962969,P32962,,P32962
Protein export,n/a,map03060,1,96,0.229827095388725,0.321757933544215,Q9M206,,Q9M206
Parkinson disease,n/a,map05012,1,411,1,1.00552486187845,Q8GXV2,,Q8GXV2
Prion diseases,n/a,map05020,2,20,0.00160521647031724,0.0182593373498586,"O78310, Q9STH1",,O78310; Q9STH1
Antigen processing and presentation,n/a,map04612,4,78,7.5936205627266E-05,0.0023033982373604,"P22954, Q9LJX8, P27323, Q9LHA8",,P22954; Q9LJX8; P27323; Q9LHA8
Toxoplasmosis,n/a,map05145,2,81,0.0212365293021802,0.0942694715365072,"P22954, Q9LHA8",,P22954; Q9LHA8
Drug metabolism - other enzymes,n/a,map00983,1,141,0.317749513796966,0.34837597295812,Q9FUS8,,Q9FUS8
Amino sugar and nucleotide sugar metabolism,n/a,map00520,4,249,0.00505689731190356,0.038348137948602,"Q9LUE6, O24598, O24658, Q9LNE3",,Q9LUE6; O24598; O24658; Q9LNE3
Biosynthesis of amino acids,n/a,map01230,2,419,0.312607635189888,0.346918229296095,"Q8W2B8, Q9ZQI7",,Q8W2B8; Q9ZQI7
Cysteine and methionine metabolism,n/a,map00270,2,201,0.104007325598605,0.242683759730078,"Q9S7T9, Q8W2B8",,Q9S7T9; Q8W2B8
Pathways in cancer,n/a,map05200,2,283,0.178806895527421,0.301322731351765,"Q9FUS8, P27323",,Q9FUS8; P27323
Progesterone-mediated oocyte maturation,n/a,map04914,1,65,0.162773337097774,0.29331433021579,P27323,,P27323
Prostate cancer,n/a,map05215,1,43,0.111685650406725,0.247887663097854,P27323,,P27323
Gastric cancer,n/a,map05226,1,54,0.137606558932585,0.278271041397005,Q9LHD1,,Q9LHD1
Measles,n/a,map05162,2,58,0.0115008029795797,0.069771538076117,"P22954, Q9LHA8",,P22954; Q9LHA8
MicroRNAs in cancer,n/a,map05206,1,95,0.227750048215066,0.323832099805797,Q9LHD1,,Q9LHD1
"Cutin, suberine and wax biosynthesis",n/a,map00073,1,52,0.132950410087494,0.288059221856237,B9TSP7,,B9TSP7
ABC transporters,n/a,map02010,1,35,0.0923475752228215,0.227125117439912,Q9LHD1,,Q9LHD1
Bile secretion,n/a,map04976,1,32,0.0849880850194577,0.22096902105059,Q9LHD1,,Q9LHD1
Hepatocellular carcinoma,n/a,map05225,1,119,0.276091730176327,0.328422842431971,Q9FUS8,,Q9FUS8
Phagosome,n/a,map04145,1,159,0.350048946006715,0.366143150420817,Q9M206,,Q9M206
Amyotrophic lateral sclerosis (ALS),n/a,map05014,1,87,0.210931370534301,0.330944046872783,O78310,,O78310
Longevity regulating pathway - multiple species,n/a,map04213,3,73,0.00116932320202681,0.01773473523074,"P22954, O78310, Q9LHA8",,P22954; O78310; Q9LHA8
Lysine biosynthesis,n/a,map00300,1,30,0.0800487380939915,0.220740459592522,Q9ZQI7,,Q9ZQI7
Necroptosis,n/a,map04217,1,122,0.281918306869501,0.328904691347751,P27323,,P27323
Rap1 signaling pathway,n/a,map04015,1,54,0.137606558932585,0.278271041397005,Q9FE63,,Q9FE63
Fluid shear stress and atherosclerosis,n/a,map05418,3,197,0.0171244966952898,0.0820173262774406,"Q9FUS8, P27323, Q8GXV2",,Q9FUS8; P27323; Q8GXV2
Insulin signaling pathway,n/a,map04910,1,135,0.306631306126099,0.34448702293179,O80625,,O80625
Estrogen signaling pathway,n/a,map04915,3,48,0.000364001117029591,0.0082810254124232,"P22954, P27323, Q9LHA8",,P22954; P27323; Q9LHA8
Fructose and mannose metabolism,n/a,map00051,1,110,0.258327684580705,0.331096046434425,Q9LNE3,,Q9LNE3
Fatty acid biosynthesis,n/a,map00061,1,65,0.162773337097774,0.29331433021579,Q84VY3,,Q84VY3
Quorum sensing,n/a,map02024,1,115,0.268249579194944,0.327660559822012,O65457,,O65457
Pentose and glucuronate interconversions,n/a,map00040,2,152,0.0649920824904706,0.197142650221094,"O65457, O81301",,O65457; O81301
Vibrio cholerae infection,n/a,map05110,1,98,0.233964496339734,0.317772674133072,Q9M206,,Q9M206
Aminoacyl-tRNA biosynthesis,n/a,map00970,1,88,0.213053514165505,0.323131163151016,F4K2L4,,F4K2L4
Two-component system,n/a,map02020,1,99,0.236024879855709,0.315856824512787,O81301,,O81301
MAPK signaling pathway - fly,n/a,map04013,1,100,0.238079738473551,0.313989220305698,Q9FE63,,Q9FE63
