#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
"Valine, leucine and isoleucine degradation",n/a,map00280,1,90,0.0629738254692916,0.14503062835352,Q9LPM8,,Q9LPM8
Metabolic pathways,n/a,map01100,9,3837,0.00173033414138039,0.0328763486862274,"Q9SHH7, Q9M9V6, Q9LPM8, O04474, Q9LTZ0, P32962, Q9SMU8, O82200, F4JTY7",,Q9SHH7; Q9M9V6; Q9LPM8; O04474; Q9LTZ0; P32962; Q9SMU8; O82200; F4JTY7
Tryptophan metabolism,n/a,map00380,1,109,0.0756188847549196,0.143675881034347,P32962,,P32962
Ascorbate and aldarate metabolism,n/a,map00053,1,90,0.0629738254692916,0.14503062835352,O82200,,O82200
Biosynthesis of secondary metabolites,n/a,map01110,4,2085,0.0629552367169487,0.159486599682937,"Q9M9V6, Q9LPM8, Q9FI37, Q9SMU8",,Q9M9V6; Q9LPM8; Q9FI37; Q9SMU8
Microbial metabolism in diverse environments,n/a,map01120,1,663,0.378567611616373,0.378567611616373,P32962,,P32962
Plant hormone signal transduction,n/a,map04075,1,496,0.299411504074533,0.307503706887358,O80338,,O80338
Phenylpropanoid biosynthesis,n/a,map00940,1,280,0.182093549788742,0.209683481574915,Q9SMU8,,Q9SMU8
Cyanoamino acid metabolism,n/a,map00460,1,104,0.0723076858587706,0.144615371717541,P32962,,P32962
Longevity regulating pathway - worm,n/a,map04212,1,180,0.121396199245131,0.159070881769483,Q9SHH7,,Q9SHH7
Protein processing in endoplasmic reticulum,n/a,map04141,1,364,0.229861710472882,0.249564142799129,P19037,,P19037
Nitrogen metabolism,n/a,map00910,1,79,0.0555750066203146,0.175987520964329,P32962,,P32962
Glucosinolate biosynthesis,n/a,map00966,1,47,0.0337212214756447,0.150753696008765,Q9LPM8,,Q9LPM8
2-Oxocarboxylic acid metabolism,n/a,map01210,1,126,0.086789813890229,0.137417205326196,Q9LPM8,,Q9LPM8
Drug metabolism - other enzymes,n/a,map00983,1,141,0.0965356286598769,0.141090534195205,Q9SHH7,,Q9SHH7
Amino sugar and nucleotide sugar metabolism,n/a,map00520,1,249,0.163734660328192,0.194434909139728,F4JTY7,,F4JTY7
Zeatin biosynthesis,n/a,map00908,1,59,0.0419743563495889,0.159502554128438,Q9FUJ2,,Q9FUJ2
Biosynthesis of amino acids,n/a,map01230,1,419,0.259633483314875,0.274057565721257,Q9LPM8,,Q9LPM8
Cysteine and methionine metabolism,n/a,map00270,1,201,0.134501307848569,0.164872570911149,Q9LPM8,,Q9LPM8
"Valine, leucine and isoleucine biosynthesis",n/a,map00290,1,39,0.0281801266441769,0.152977830354103,Q9LPM8,,Q9LPM8
Pantothenate and CoA biosynthesis,n/a,map00770,1,47,0.0337212214756447,0.150753696008765,Q9LPM8,,Q9LPM8
Pathways in cancer,n/a,map05200,1,283,0.183848929700437,0.205478215547548,Q9SHH7,,Q9SHH7
Hepatocellular carcinoma,n/a,map05225,1,119,0.0822062735805762,0.135819060698343,Q9SHH7,,Q9SHH7
Fluid shear stress and atherosclerosis,n/a,map05418,1,197,0.132020083454502,0.167225439042369,Q9SHH7,,Q9SHH7
Glycerophospholipid metabolism,n/a,map00564,1,164,0.111279873283504,0.156616117954561,Q9FLM1,,Q9FLM1
Quorum sensing,n/a,map02024,1,115,0.0795769051693963,0.140647553322654,Q9LTZ0,,Q9LTZ0
Pentose and glucuronate interconversions,n/a,map00040,2,152,0.00553693482212503,0.0526008808101878,"O04474, Q9LTZ0",,O04474; Q9LTZ0
Glutathione metabolism,n/a,map00480,1,172,0.116352346645758,0.1579067561621,Q9SHH7,,Q9SHH7
Ubiquinone and other terpenoid-quinone biosynthesis,n/a,map00130,1,67,0.0474376947753007,0.16387567286013,Q9M9V6,,Q9M9V6
Inositol phosphate metabolism,n/a,map00562,1,127,0.0874427555454108,0.132912988429024,O82200,,O82200
Platinum drug resistance,n/a,map01524,1,115,0.0795769051693963,0.140647553322654,Q9SHH7,,Q9SHH7
Aminobenzoate degradation,n/a,map00627,1,16,0.0120739137286695,0.0917617443378878,P32962,,P32962
Styrene degradation,n/a,map00643,1,17,0.0127796389519758,0.0809377133625137,P32962,,P32962
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,1,89,0.0623035800759418,0.169109717348985,Q9SHH7,,Q9SHH7
Drug metabolism - cytochrome P450,n/a,map00982,1,92,0.0643128958786387,0.135771669077126,Q9SHH7,,Q9SHH7
Chemical carcinogenesis,n/a,map05204,1,84,0.0589452379023962,0.172301464637774,Q9SHH7,,Q9SHH7
Sesquiterpenoid and triterpenoid biosynthesis,n/a,map00909,2,30,0.000246664908981956,0.00937326654131431,"Q9FI37, Q9T0J9",,Q9FI37; Q9T0J9
Biosynthesis of siderophore group nonribosomal peptides,n/a,map01053,1,4,0.00356621322518516,0.0451720341856786,Q9M9V6,,Q9M9V6
